Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 14:56:16,Female,18-25,Colombo,Diploma,Other profession with degree,between 20000 - 50000,once every few months,Yes,sampath,from the bank,"transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,Maybe,4,Maybe
10/12/2020 14:57:09,Male,25-30,Kurunegala,Degree,Student,Not Applicable,once a month,No,BOC,friend,"check balance, for credit card",5000 -10000,Maybe,N/A,N/A,N/A
10/12/2020 14:58:21,Male,25-30,Colombo,Degree,Technology related,between 20000 - 50000,once a week,Yes,sampath,advertisement,"transfer money to other accounts, check balance",5000 -10000,Maybe,No,4,No
10/12/2020 14:58:58,Male,18-25,Vavuniya,Degree,Technology related,between 100000 - 250000,once every few months,Yes,Seylan Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,No,Maybe,3,No
10/12/2020 15:00:40,Female,18-25,Colombo,Degree,Technology related,between 50000 - 100000,never,No,N/A,N/A,N/A,below 5000,N/A,N/A,N/A,N/A
10/12/2020 15:01:07,Male,18-25,Ratnapura,Degree,Student,Not Applicable,once every few months,Yes,BOC,advertisement,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Yes,No,5,Yes
10/12/2020 15:02:33,Male,18-25,Colombo,Degree,Other profession with degree,between 50000 - 100000,never,Yes,Commercial Bank,Form their website,"pay bills, transfer money to other accounts, check balance, recharge your phone",50000 - 100000,Maybe,Maybe,3,Maybe
10/12/2020 15:02:36,Female,25-30,Gampaha,Degree,Technology related,less than 20000,once a month,Yes,Commercial Bank,from the bank,check balance,N/A,Yes,No,5,Yes
10/12/2020 15:02:45,Male,18-25,Jaffna,Degree,Student,Not Applicable,never,Yes,peoples bank,from the bank,recharge your phone,below 5000,Yes,No,5,Yes
10/12/2020 15:03:13,Female,18-25,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,5,Yes
